card_id,weighted_win_rate
66,0.8153430048591574
115,0.8094642589783335
114,0.7824310817533194
19,0.762435045877383
67,0.7613847748442576
18,0.7565348831085116
21,0.7391140664979658
5,0.7332145284644861
6,0.7296389972017667
4,0.7194258051693809
63,0.6995054248719846
65,0.6994603546158369
24,0.6974899722619504
71,0.687070477169072
41,0.6788862866253621
47,0.6635562968435753
64,0.6597376609160177
0,0.6363820813555323
46,0.6318890166583155
98,0.6308575271126473
72,0.6306628296911806
13,0.630630801142939
36,0.627639573218457
78,0.615701194938202
43,0.6117947296206955
117,0.6047859669237738
37,0.5991226750930327
120,0.5951893618386134
101,0.593361215968008
39,0.5932534689713503
124,0.5926490899772254
73,0.5912167730778438
42,0.5909111407116133
116,0.5876931182373156
49,0.5866282971152986
2,0.5863106342310208
7,0.5862310842088194
99,0.5828390928768721
45,0.5668206070886954
34,0.5658714204426059
30,0.5656919488385709
85,0.5650521125877104
83,0.564004441658079
69,0.5622125783003968
87,0.5613756681921053
100,0.5602084334285558
82,0.5583384652412834
17,0.5575865577249909
20,0.5574670296048555
94,0.5558726236599084
9,0.5547421900274357
35,0.5437119531105811
70,0.5408285388728397
84,0.5397075569892903
15,0.5353609573820513
29,0.5344548457463074
92,0.5184628325391866
40,0.5168380719366735
16,0.5158738227729711
33,0.5147769417902758
96,0.5120457017462985
14,0.5110324452897486
89,0.5099006545885593
3,0.5078999699920178
80,0.5051696517278411
76,0.5050104501013366
28,0.502346279457026
1,0.4997360599201957
8,0.4990785648925188
26,0.49734662939393737
97,0.4964536532688159
93,0.4958194913601475
110,0.4952725358262525
81,0.4950642787941103
108,0.4948051555911314
123,0.4946082773495527
107,0.49416717024092327
74,0.49363786249091235
113,0.4935589220325745
111,0.4921874715432811
75,0.4886204376929841
50,0.488245867346603
95,0.48776928721492385
38,0.48676501579907044
119,0.48663391343144824
109,0.4860893740213005
25,0.48579266290700973
11,0.4847195665335202
102,0.48464209976436257
90,0.48140614120478953
12,0.481308283682492
88,0.4810446965553248
68,0.47770167998567453
77,0.47605544335740363
32,0.474051929876995
91,0.47383114438483087
79,0.46570596609953
104,0.4651698056108977
31,0.4636757582728669
118,0.46084317576821354
112,0.4590946985165449
106,0.45867183210111584
10,0.4582198434553659
105,0.4575290981235771
48,0.45357697493782767
44,0.45094258803257986
23,0.4489690778525523
103,0.4469713221369785
27,0.444017043339782
22,0.44209720306952166
86,0.43956189639414334
121,0.41628205864586265
122,0.38487637889814097
