step,R_mean,R_std,V_mean,V_std,KL,entropy,Loss
430,0.340,1.121,0.303,0.752,0.0202,0.0710,0.3936
440,0.156,1.160,0.148,0.686,0.0271,0.0663,0.5813
450,0.321,1.191,0.293,0.810,0.0201,0.0726,0.3053
10,-0.436,1.047,-0.066,0.810,0.0105,0.0740,0.4730
20,0.624,1.170,0.335,0.822,0.0083,0.0724,0.2869
30,0.508,1.145,-0.045,0.663,0.0190,0.0629,0.7704
40,-0.414,1.258,-0.100,0.722,0.0238,0.0731,0.5147
50,0.328,1.186,0.306,0.667,0.0191,0.0638,0.4101
60,0.437,1.105,0.385,0.726,0.0268,0.0721,0.4348
70,0.037,1.362,0.359,0.830,0.0155,0.0746,0.4548
80,0.433,1.255,0.279,0.769,0.0069,0.0692,0.6783
90,0.316,1.323,0.318,0.786,0.0030,0.0706,0.4517
100,0.336,1.312,0.058,0.812,0.0110,0.0711,0.5375
110,-0.332,1.171,0.004,0.648,0.0247,0.0779,0.7731
120,-0.450,1.139,-0.099,0.671,0.0113,0.0768,0.5094
130,-0.068,1.140,-0.133,0.655,0.0087,0.0828,0.4813
140,-0.072,1.210,-0.062,0.835,0.0069,0.0806,0.3162
150,0.308,1.194,0.308,0.708,0.0078,0.0657,0.4045
160,0.149,1.237,0.106,0.732,0.0104,0.0696,0.4650
170,0.321,1.243,0.135,0.759,0.0130,0.0681,0.4738
180,0.719,1.188,0.304,0.808,0.0283,0.0706,0.4272
190,-0.302,1.387,-0.202,0.779,0.0170,0.0804,0.4340
200,-0.786,1.118,-0.209,0.762,0.0257,0.0889,0.9347
210,-0.224,1.291,-0.035,0.803,0.0187,0.0745,0.6149
220,0.522,1.229,0.184,0.802,0.0080,0.0669,0.5105
230,-0.020,1.214,-0.013,0.682,0.0360,0.0722,0.5464
240,0.328,1.187,0.475,0.730,0.0134,0.0773,0.5169
250,0.345,1.156,0.427,0.693,0.0062,0.0715,0.6788
260,0.408,1.164,0.492,0.731,0.0068,0.0837,0.6638
270,-0.026,1.328,0.130,0.820,0.0153,0.0665,0.5441
280,-0.003,1.402,0.488,0.700,0.0181,0.0684,0.8436
290,0.212,1.455,0.197,0.905,0.0141,0.0716,0.5719
300,-0.015,1.284,0.058,0.673,0.0096,0.0601,0.6647
310,-0.207,1.281,-0.002,0.748,0.0080,0.0773,0.4997
320,0.476,1.181,0.369,0.727,0.0165,0.0770,0.4408
330,0.796,1.177,0.328,0.926,0.0068,0.0713,0.3819
340,-0.163,1.319,-0.004,0.773,0.0081,0.0731,0.7015
350,0.131,1.279,0.194,0.760,0.0122,0.0689,0.4514
360,0.204,1.305,0.108,0.807,0.0089,0.0783,0.4789
370,-0.212,1.430,-0.263,0.842,0.0153,0.0805,0.5231
380,-0.285,1.172,0.183,0.591,0.0310,0.0767,0.6612
390,0.221,1.160,0.248,0.660,0.0039,0.0552,0.7523
10,0.504,1.208,0.295,0.672,0.0316,0.0707,0.6173
20,0.167,1.305,0.299,0.779,0.0230,0.0721,0.3883
30,0.068,1.184,0.151,0.719,0.0179,0.0737,0.4629
40,0.264,1.427,0.048,0.717,0.0121,0.0733,0.4894
50,-0.109,1.289,0.038,0.612,0.0169,0.0833,0.7174
60,-0.024,1.237,0.043,0.768,0.0164,0.0702,0.4485
70,0.474,1.180,0.255,0.656,0.0259,0.0757,0.6048
80,-0.008,1.327,0.060,0.733,0.0093,0.0640,0.4020
90,0.498,1.259,0.255,0.568,0.0184,0.0704,0.6912
100,0.382,1.308,-0.048,0.688,0.0091,0.0873,0.5512
110,0.163,1.275,0.264,0.584,0.0084,0.0724,0.6261
120,0.201,1.410,0.008,0.886,0.0107,0.0752,0.4057
130,0.211,1.268,0.260,0.586,0.0145,0.0645,0.6050
140,0.565,1.128,0.231,0.644,0.0212,0.0692,0.4282
150,0.072,1.138,-0.113,0.621,0.0133,0.0703,0.5653
160,-0.179,1.224,0.114,0.713,0.0308,0.0737,1.0746
170,0.207,1.114,0.199,0.625,0.0115,0.0623,0.4517
180,0.291,1.353,0.233,0.927,0.0094,0.0837,0.3837
190,0.020,1.319,0.188,0.820,0.0135,0.0771,0.4873
200,-0.181,1.183,-0.008,0.621,0.0198,0.0746,0.6887
210,0.178,1.231,0.185,0.673,0.0072,0.0643,0.6117
220,0.196,1.264,0.210,0.833,0.0340,0.0803,0.3156
230,-0.254,1.106,-0.073,0.530,0.0068,0.0774,0.6727
240,0.331,1.319,0.260,0.760,0.0064,0.0677,0.5001
250,0.151,1.302,0.028,0.830,0.0062,0.0779,0.3737
260,0.403,1.166,0.066,0.592,0.0094,0.0723,0.6668
270,0.116,1.478,0.489,0.885,0.0619,0.0767,0.4062
280,0.110,1.238,0.106,0.700,0.0120,0.0771,0.4665
290,0.526,1.343,0.536,0.929,0.0261,0.0643,0.3706
300,0.166,1.333,0.088,0.917,0.0055,0.0721,0.5672
310,-0.067,1.400,0.041,0.991,0.0066,0.0822,0.5936
320,0.414,1.215,0.311,0.810,0.0067,0.0652,0.3923
330,0.419,1.178,-0.010,0.647,0.0069,0.0680,0.5962
340,-0.067,1.158,0.030,0.651,0.0114,0.0660,0.4469
350,0.469,1.324,0.234,0.874,0.0466,0.0715,0.4353
360,0.423,1.183,0.414,0.556,0.0390,0.0737,0.6390
370,0.340,1.167,0.124,0.773,0.0135,0.0791,0.3485
380,0.219,1.222,-0.026,0.615,0.0222,0.0769,0.5167
390,0.095,1.198,-0.146,0.645,0.0111,0.0773,0.5126
400,-0.287,1.387,-0.087,0.831,0.0250,0.0806,0.6057
410,0.133,1.269,-0.092,0.742,0.0186,0.0815,0.6339
420,0.191,1.160,0.204,0.663,0.0081,0.0782,0.3414
430,0.535,1.199,0.199,0.786,0.0028,0.0831,0.3452
10,-0.434,1.104,-0.276,0.659,0.0171,0.0851,0.3941
20,-0.070,1.252,0.048,0.862,0.0279,0.0761,0.4144
30,1.095,0.631,0.514,0.680,0.0040,0.0774,0.4908
40,-0.142,1.151,-0.018,0.605,0.0205,0.0798,0.5836
50,-0.074,1.363,0.057,0.805,0.0084,0.0814,0.4518
60,0.389,1.379,0.171,0.783,0.0168,0.0676,0.4266
70,0.081,1.227,0.177,0.671,0.0165,0.0885,0.3971
80,0.307,1.234,0.292,0.698,0.0079,0.0818,0.7752
90,0.207,1.261,0.327,0.853,0.0046,0.0714,0.4236
100,0.061,1.233,0.206,0.723,0.0138,0.0659,0.6307
110,-0.356,1.204,0.135,0.820,0.0113,0.0734,0.5918
120,0.349,1.288,0.334,0.701,0.0339,0.0712,0.3665
130,0.075,1.182,0.307,0.723,0.1095,0.0737,0.6532
140,-0.222,1.269,-0.223,0.768,0.0156,0.0701,0.6284
150,0.634,1.176,0.252,0.747,0.0250,0.0698,0.7320
160,-0.076,1.275,0.050,0.611,0.0125,0.0709,0.7237
170,-0.050,1.277,-0.139,0.884,0.0077,0.0883,0.3345
180,0.776,1.059,0.485,0.521,0.0083,0.0695,0.4816
190,0.209,1.219,-0.078,0.648,0.0096,0.0743,0.7105
200,0.315,1.293,0.309,0.734,0.0079,0.0745,0.5942
210,-0.406,1.211,0.182,0.735,0.0254,0.0671,0.8029
220,0.068,1.258,0.290,0.643,0.0074,0.0657,0.4620
230,-0.240,1.297,-0.126,0.647,0.0110,0.0694,0.4985
240,0.031,1.182,0.044,0.787,0.0098,0.0806,0.3197
250,-0.525,1.023,-0.091,0.529,0.0072,0.0802,0.7492
260,0.046,1.328,0.139,0.901,0.0063,0.0760,0.3925
270,0.124,1.150,0.269,0.798,0.0313,0.0799,0.5160
280,-0.534,1.187,-0.213,0.847,0.0042,0.0845,0.3227
290,-0.171,1.324,-0.349,0.747,0.0131,0.0916,0.6221
300,0.094,1.241,0.187,0.782,0.0127,0.0759,0.4577
310,0.731,1.258,0.778,0.658,0.0096,0.0743,0.2782
320,-0.343,1.222,-0.146,0.770,0.0096,0.0718,0.8326
330,0.673,1.212,0.102,0.733,0.0087,0.0731,0.6059
340,0.414,1.063,0.121,0.566,0.0055,0.0677,0.4177
350,0.034,1.227,0.072,0.595,0.0126,0.0685,0.6165
360,-0.045,1.247,-0.093,0.681,0.0050,0.0739,0.4309
370,0.422,1.309,0.203,0.784,0.0169,0.0748,0.6445
380,-0.688,1.125,-0.368,0.857,0.0122,0.0828,0.6029
390,0.095,1.170,-0.013,0.746,0.0053,0.0740,0.3775
400,0.264,1.155,0.034,0.787,0.0229,0.0759,0.3729
10,-0.257,1.208,-0.112,0.710,0.0224,0.0783,0.4395
20,-0.013,1.278,0.254,0.667,0.0139,0.0753,0.5684
30,-0.264,1.137,0.305,0.574,0.0195,0.0632,0.7931
40,-0.041,1.179,0.080,0.634,0.0178,0.0605,0.4120
50,0.530,1.211,0.032,0.751,0.0056,0.0719,0.5081
60,0.198,1.159,0.027,0.713,0.0015,0.0697,0.5188
70,0.006,1.195,-0.143,0.617,0.0148,0.0674,0.6431
80,-0.345,1.065,-0.165,0.663,0.0063,0.0683,0.4461
90,-0.264,1.219,0.199,0.686,0.0164,0.0589,0.6182
100,-0.389,1.181,-0.094,0.546,0.0092,0.0703,0.6472
110,0.004,1.232,-0.251,0.694,0.0199,0.0692,0.5330
120,-0.499,1.236,-0.302,0.892,0.0083,0.0830,0.3384
130,-0.164,1.218,-0.047,0.605,0.0069,0.0710,0.6721
140,0.186,1.350,0.226,0.682,0.0242,0.0728,0.5097
150,-0.248,1.183,0.230,0.643,0.0082,0.0686,0.8198
160,0.133,1.328,-0.078,0.817,0.0120,0.0772,0.6586
170,-0.146,1.337,-0.126,0.882,0.0097,0.0779,0.5805
180,-0.159,1.268,-0.305,0.855,0.0102,0.0811,0.3465
190,0.156,1.071,-0.127,0.510,0.0049,0.0690,0.5748
200,0.050,1.277,-0.023,0.738,0.0242,0.0729,0.5095
210,-0.257,1.172,-0.441,0.770,0.0160,0.0845,0.3257
220,0.146,1.073,-0.118,0.545,0.0043,0.0774,0.5877
230,0.264,1.083,0.114,0.632,0.0058,0.0780,0.5398
240,0.149,1.270,0.127,0.791,0.0145,0.0781,0.4269
250,-0.165,1.199,0.213,0.734,0.0143,0.0843,0.5182
260,0.269,1.321,0.541,0.779,0.0329,0.0784,0.4776
270,0.639,1.162,0.566,0.598,0.0181,0.0737,0.4050
280,-0.060,1.253,0.066,0.590,0.0135,0.0710,0.6004
290,0.469,1.235,0.435,0.851,0.0200,0.0805,0.3311
300,0.055,1.249,0.090,0.745,0.0131,0.0775,0.4423
310,-0.640,1.142,-0.126,0.604,0.0317,0.0807,0.5401
320,0.094,1.197,-0.070,0.543,0.0217,0.0694,0.6053
330,-0.225,1.086,-0.207,0.629,0.0090,0.0849,0.4667
340,-0.140,1.244,0.110,0.675,0.0082,0.0731,0.5779
10,-0.058,1.183,0.021,0.665,0.0151,0.0796,0.5320
20,0.357,1.238,0.284,0.643,0.0053,0.0716,0.5330
30,0.283,1.181,-0.029,0.612,0.0173,0.0742,0.6321
40,0.475,1.181,0.393,0.789,0.0029,0.0809,0.3943
50,-0.296,1.212,-0.206,0.879,0.0043,0.0858,0.7625
60,-0.164,1.384,-0.196,0.882,0.0197,0.0857,0.4830
70,-0.241,1.168,-0.175,0.614,0.0041,0.0747,0.6557
80,0.097,1.300,-0.181,0.777,0.0050,0.0692,0.7797
90,-0.515,1.068,-0.207,0.785,0.0056,0.0805,0.4608
100,0.129,1.240,0.015,0.733,0.0085,0.0732,0.3522
110,-0.343,1.183,-0.289,0.801,0.0097,0.0765,0.4465
120,-0.202,1.208,-0.102,0.757,0.0172,0.0855,0.4216
130,-0.265,1.226,-0.449,0.725,0.0231,0.0831,0.2936
140,0.003,1.172,-0.053,0.702,0.0257,0.0780,0.4954
150,0.141,1.125,-0.077,0.697,0.0107,0.0680,0.2512
160,0.286,1.126,0.041,0.630,0.0098,0.0734,0.6215
10,-0.139,1.293,0.385,0.898,0.0460,0.0796,0.4724
20,0.440,1.110,0.352,0.626,0.0240,0.0763,0.4423
30,-0.152,1.188,-0.067,0.728,0.0169,0.0793,0.5762
