step,R_mean,R_std,V_mean,V_std,KL,entropy,Loss
900,-0.083,1.295,0.254,0.694,0.0099,0.0945,0.5374
910,0.638,1.354,0.489,0.763,0.0183,0.0963,0.4779
920,0.563,1.242,0.445,0.793,0.0060,0.0958,0.5435
930,0.899,1.114,0.706,0.800,0.0129,0.0885,0.2477
940,1.254,0.796,0.810,0.541,0.0161,0.0911,0.2933
950,0.960,1.097,0.909,0.609,0.0094,0.0817,0.4164
960,0.076,1.354,0.192,0.971,0.0197,0.0917,0.7261
970,0.008,1.427,0.100,0.967,0.0732,0.0935,0.5653
980,0.283,1.520,0.452,0.954,0.0081,0.1012,0.7334
990,-0.233,1.299,-0.065,0.892,0.0323,0.1014,0.5242
1000,0.691,1.358,0.590,0.888,0.0188,0.0928,0.4344
1010,0.750,1.234,0.851,0.828,0.0102,0.0899,0.2639
1020,0.767,1.207,0.364,1.101,0.0123,0.0901,0.8346
1030,-0.386,1.287,-0.333,0.970,0.0144,0.1077,0.4230
1040,0.286,1.300,0.275,0.952,0.0155,0.0901,0.2300
1050,-0.370,1.138,-0.031,0.760,0.0186,0.0985,0.6205
1060,0.372,1.448,0.558,0.865,0.0161,0.0879,0.4499
1070,0.086,1.321,0.294,0.613,0.0170,0.0922,0.7103
1080,-0.686,1.136,-0.128,0.558,0.0692,0.1060,0.7587
1090,0.067,1.258,0.314,0.661,0.0172,0.0872,0.5402
1100,0.283,1.251,0.289,0.613,0.0101,0.0867,0.6666
1110,-0.335,1.242,-0.134,0.747,0.0241,0.0927,0.6638
1120,-0.115,1.222,0.273,0.698,0.0239,0.0802,0.8264
1130,0.729,1.178,0.589,0.758,0.1210,0.0827,0.4432
1140,-0.065,1.183,0.035,0.580,0.0117,0.0938,0.5785
1150,0.371,1.271,0.366,0.796,0.0636,0.0961,0.4563
1160,0.754,0.881,0.673,0.561,0.0177,0.0857,0.2608
1170,0.783,1.318,0.740,0.694,0.0529,0.0839,0.4829
1180,1.049,1.059,0.371,0.967,0.0218,0.0920,0.4749
1190,0.014,1.480,0.207,1.198,0.0122,0.0987,0.2849
1200,1.304,0.823,1.000,0.808,0.0199,0.0828,0.1641
1210,0.418,1.250,0.304,0.741,0.0044,0.0887,0.4293
1220,-0.060,1.224,0.267,0.682,0.0043,0.0820,0.5687
1230,0.147,1.343,0.099,0.745,0.0094,0.0913,0.8541
1240,0.287,1.298,0.235,0.963,0.0132,0.0942,0.3519
1250,0.768,1.105,0.399,0.863,0.0092,0.0938,0.2759
1260,0.065,1.289,0.147,0.818,0.0099,0.0957,0.4338
1270,0.496,1.125,0.507,0.815,0.0222,0.0867,0.2979
1280,0.273,1.349,0.462,0.813,0.0136,0.0811,0.5003
1290,-0.014,1.255,0.030,0.751,0.0177,0.0799,0.5338
1300,0.334,1.299,0.352,0.879,0.0087,0.0907,0.3775
1310,0.001,1.237,0.270,0.785,0.0077,0.0943,0.5037
1320,0.225,1.156,-0.065,0.760,0.0100,0.1144,0.5986
1330,0.586,1.369,0.909,0.950,0.0211,0.0869,0.4321
1340,-0.488,1.325,0.075,0.897,0.0085,0.1056,0.9244
1350,-0.213,1.246,0.311,0.829,0.0044,0.0892,0.7225
1360,-0.016,1.284,0.029,0.844,0.0103,0.0943,0.3592
1370,0.487,1.414,0.393,1.135,0.0117,0.0967,0.1768
1380,0.440,1.465,0.259,1.056,0.0085,0.0915,0.4420
1390,0.651,1.187,0.442,0.820,0.0075,0.0977,0.2657
1400,0.306,1.242,0.413,0.814,0.0043,0.0984,0.3248
1410,0.124,1.287,0.045,0.800,0.0124,0.1023,0.7454
1420,0.103,1.301,0.179,0.653,0.0325,0.0930,0.7028
1430,0.097,1.283,0.161,0.838,0.0265,0.1078,0.3412
1440,0.046,1.229,0.332,0.668,0.0082,0.0860,0.9209
1450,-0.208,1.246,-0.371,0.745,0.0055,0.1037,0.5695
1460,0.545,1.288,0.422,0.835,0.0103,0.0831,0.7854
1470,0.470,1.291,0.695,0.861,0.0113,0.0881,0.5414
1480,0.542,1.199,0.624,0.906,0.0217,0.0907,0.2421
1490,0.307,1.255,0.052,0.837,0.0236,0.0959,0.5323
1500,0.112,1.271,0.282,0.726,0.0094,0.0961,0.4221
1510,0.082,1.263,0.067,0.699,0.0001,0.0934,0.4874
