bot,BestMCTS3,Council Of Two,EBot_C,EBot_F,HQL_Plus_BOT,MCTS_MMHVR,MaltheMCTS,NAgent,Sakkirina,SakkirinaSolo,ZMyBot
BestMCTS3,0.5,0.9195804195804196,0.8715277777777778,0.8680555555555556,0.22916666666666666,0.7068965517241379,0.9565972222222222,0.2951388888888889,0.4184027777777778,0.3854166666666667,0.9565972222222222
Council Of Two,0.08041958041958042,0.5,0.1111111111111111,0.11805555555555555,0.050347222222222224,0.22569444444444445,0.46503496503496505,0.6392857142857142,0.06944444444444445,0.07570422535211267,0.4875
EBot_C,0.1284722222222222,0.8888888888888888,0.5,0.5434027777777778,0.5138888888888888,0.5642361111111112,0.8767361111111112,0.6866197183098591,0.27992957746478875,0.272887323943662,0.8697183098591549
EBot_F,0.13194444444444445,0.8819444444444444,0.4565972222222222,0.5,0.3732394366197183,0.4878472222222222,0.8362676056338029,0.670774647887324,0.2887323943661972,0.2130281690140845,0.8609154929577465
HQL_Plus_BOT,0.7708333333333334,0.9496527777777778,0.4861111111111111,0.6267605633802817,0.5,0.703125,0.8573943661971831,0.5017605633802817,0.5352112676056338,0.5264084507042254,0.9630281690140845
MCTS_MMHVR,0.29310344827586204,0.7743055555555556,0.4357638888888889,0.5121527777777778,0.296875,0.5,0.8645833333333334,0.5659722222222222,0.3159722222222222,0.2934027777777778,0.7725694444444444
MaltheMCTS,0.043402777777777776,0.534965034965035,0.1232638888888889,0.1637323943661972,0.1426056338028169,0.13541666666666666,0.5,0.02464788732394366,0.028169014084507043,0.02992957746478873,0.6197183098591549
NAgent,0.7048611111111112,0.3607142857142857,0.31338028169014087,0.32922535211267606,0.4982394366197183,0.4340277777777778,0.9753521126760564,0.5,0.40492957746478875,0.5633802816901409,0.44190140845070425
Sakkirina,0.5815972222222222,0.9305555555555556,0.7200704225352113,0.7112676056338029,0.4647887323943662,0.6840277777777778,0.971830985915493,0.5950704225352113,0.5,0.4295774647887324,0.9630281690140845
SakkirinaSolo,0.6145833333333334,0.9242957746478874,0.727112676056338,0.7869718309859155,0.4735915492957746,0.7065972222222222,0.9700704225352113,0.43661971830985913,0.5704225352112676,0.5,0.954225352112676
ZMyBot,0.043402777777777776,0.5125,0.13028169014084506,0.13908450704225353,0.03697183098591549,0.22743055555555555,0.38028169014084506,0.5580985915492958,0.03697183098591549,0.045774647887323945,0.5
